ClosedDate,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,houseEra
6/15/2020,94299.99999999999,Condo,60077,722,3,1,0,No,1.0,0,1.0,19A
2/14/2020,338249.99999999994,SFH,60076,1611,6,1,1,No,3.0,0,2.0,19A
9/2/2020,312625.0,SFH,60076,2100,7,2,0,Yes,3.0,0,2.0,19A
6/29/2018,167994.93749999994,Condo,60076,1100,5,2,0,No,2.0,0,0.0,19A
9/18/2019,393984.37499999994,SFH,60025,2319,8,2,0,No,3.0,0,2.0,19A
5/14/2020,349524.99999999994,SFH,60076,1476,7,2,0,Yes,3.0,0,0.0,19A
8/7/2020,430499.99999999994,SFH,60091,3400,8,2,1,No,4.0,0,2.0,19A
6/8/2018,300452.4843749999,SFH,60076,1645,8,2,0,No,3.0,0,0.0,19A
7/8/2020,1445249.9999999998,SFH,60091,4598,15,5,1,Yes,5.0,1,3.0,recent
6/7/2018,374219.4921874999,SFH,60077,1300,8,2,0,No,4.0,0,2.0,19A
10/23/2020,743124.9999999999,SFH,60025,2500,9,4,0,Yes,5.0,0,2.5,19A
6/29/2017,248357.90039062488,SFH,60077,900,6,2,0,Yes,2.0,0,2.0,19A
4/17/2020,360799.99999999994,Townhouse,60025,1600,7,2,1,No,3.0,0,2.0,19A
6/11/2018,335989.8749999999,SFH,60077,1472,9,2,1,Yes,4.0,0,0.0,19B
4/19/2018,256299.9687499999,SFH,60076,1072,6,1,1,No,3.0,0,0.0,19A
8/15/2019,577738.6875,SFH,60062,2888,12,2,2,No,4.0,0,2.5,19A
7/22/2020,212174.99999999997,Condo,60077,1550,5,2,0,No,2.0,0,2.0,19A
9/12/2019,1320669.2449999999,SFH,60062,4050,11,5,1,Yes,5.0,1,3.0,recent
3/1/2019,178606.25,SFH,60002,2160,9,2,1,No,4.0,0,2.0,20A
10/16/2020,459019.6,SFH,60025,3149,10,2,1,No,4.0,0,2.0,19A
5/31/2019,698665.625,SFH,60053,3062,12,3,1,Yes,4.0,1,2.0,20A
5/21/2020,657677.9249999999,Townhouse,60062,2392,8,2,2,No,3.0,0,2.0,recent
5/19/2017,325072.89628906234,SFH,60076,1323,7,2,0,Yes,3.0,0,0.0,19A
4/29/2020,604750.0,SFH,60026,2030,9,3,1,Yes,3.0,1,2.0,20A
12/23/2020,512499.99999999994,SFH,60202,1667,8,1,1,Yes,3.0,0,0.0,19B
6/21/2019,639830.625,SFH,60062,2493,9,2,1,No,4.0,0,2.5,19A
8/6/2018,382296.1718749999,SFH,60077,1222,8,2,0,Yes,3.0,1,0.0,19A
6/11/2018,716132.2656249998,SFH,60062,2800,9,3,1,Yes,2.0,1,2.0,19A
7/16/2020,381812.49999999994,SFH,60025,1749,8,2,1,Yes,4.0,0,2.0,19A
8/26/2020,122999.99999999999,Duplex,60201,1300,5,2,0,No,2.0,0,0.0,19B
6/12/2019,418148.74999999994,SFH,60062,1265,7,2,0,Yes,3.0,0,2.5,19A
5/23/2019,640881.25,SFH,60062,2669,10,3,1,Yes,4.0,1,2.0,19A
10/17/2019,2264096.875,SFH,60025,8377,12,6,2,Yes,5.0,1,3.0,19A
7/17/2019,346706.25,Condo,60062,1820,7,2,0,No,2.0,0,1.0,19A
8/31/2020,310575.0,SFH,60053,1200,7,2,0,Yes,3.0,0,1.0,19A
8/24/2020,653950.0,SFH,60203,2705,8,2,1,No,3.0,0,2.0,19B
6/14/2019,1160940.625,SFH,60091,3200,10,3,1,No,4.0,0,1.0,19B
11/8/2018,322959.4984374999,SFH,60076,1400,10,3,0,Yes,3.0,0,0.0,19A
9/19/2018,328451.6406249999,SFH,60076,1663,9,1,1,No,4.0,0,2.5,19A
5/15/2019,478034.37499999994,SFH,60053,2427,9,2,0,No,3.0,0,1.5,19A
6/29/2019,390832.49999999994,Condo,60201,1400,6,2,0,No,2.0,0,1.0,20A
2/14/2019,246896.87499999997,Condo,60062,1630,5,2,0,No,2.0,0,2.0,19A
10/26/2020,818462.4999999999,SFH,60053,3463,12,4,1,Yes,4.0,1,2.5,recent
1/15/2019,1076890.625,SFH,60202,4300,11,2,1,No,6.0,0,2.0,Pre1900
8/24/2018,726901.1718749998,SFH,60062,2900,10,2,1,No,4.0,0,2.0,19A
7/30/2018,195994.09374999994,Condo,60076,1465,5,2,0,No,2.0,0,2.0,19A
10/7/2020,193724.99999999997,Condo,60202,950,5,1,0,No,2.0,0,0.0,19B
4/15/2020,176812.49999999997,Condo,60053,1200,5,2,0,No,2.0,0,1.0,19A
8/11/2020,705199.9999999999,SFH,60025,3028,9,3,1,No,3.0,0,2.0,19A
4/9/2020,368999.99999999994,SFH,60053,1600,8,2,0,No,3.0,0,2.0,19A
10/28/2019,174929.0625,Condo,60076,1300,5,2,0,No,2.0,0,1.0,19A
2/28/2020,416149.99999999994,SFH,60053,2538,9,2,1,No,4.0,0,2.0,19A
6/27/2019,201719.99999999997,Condo,60077,1143,5,1,0,No,1.0,0,1.0,20A
12/30/2020,307500.0,SFH,60076,2764,12,4,1,Yes,6.0,0,0.0,19A
10/30/2019,278415.625,Condo,60077,1500,5,2,0,No,2.0,0,2.0,19A
7/19/2019,306782.5,SFH,60053,1110,7,2,0,Yes,3.0,0,2.0,19A
5/21/2019,520059.37499999994,SFH,60025,3200,8,3,1,No,4.0,0,2.0,19A
11/6/2020,584250.0,SFH,60025,2025,8,2,1,No,4.0,0,1.0,19A
9/25/2020,753374.9999999999,SFH,60062,3239,12,5,0,Yes,4.0,0,3.0,19A
4/18/2019,459963.62499999994,SFH,60203,2515,9,3,0,Yes,4.0,0,2.0,19A
8/20/2018,481370.1093749998,SFH,60076,1350,8,2,0,Yes,3.0,1,2.1,19B
5/5/2017,275953.2226562499,SFH,60076,1039,8,1,0,No,3.0,0,2.0,19A
6/8/2020,1255625.0,SFH,60091,3598,13,5,1,Yes,5.0,1,2.0,20A
7/3/2020,358749.99999999994,SFH,60002,2496,7,2,0,No,3.0,0,2.0,19A
9/14/2020,312625.0,SFH,60053,1400,6,2,0,No,3.0,0,0.0,19A
3/27/2020,435624.99999999994,SFH,60062,2500,9,2,1,No,4.0,0,2.5,19A
8/26/2020,287000.0,SFH,60053,1750,6,2,0,Yes,3.0,0,2.0,19A
5/1/2020,427937.49999999994,Townhouse,60201,1500,6,2,0,No,3.0,0,0.0,20A
7/1/2019,777462.4999999999,SFH,60202,3550,13,4,0,Yes,4.0,1,2.0,Pre1900
3/31/2020,553500.0,SFH,60025,2451,9,2,1,No,4.0,0,2.0,19A
8/7/2020,214224.99999999997,SFH,60201,2886,8,1,1,No,4.0,0,4.0,Pre1900
8/14/2020,994249.9999999999,SFH,60026,4632,14,3,1,Yes,4.0,1,2.0,20A
7/23/2018,312298.2812499999,SFH,60077,1570,8,2,0,No,4.0,0,2.0,19A
5/10/2019,286295.3125,SFH,60077,1239,8,1,0,No,3.0,0,2.0,19A
10/24/2019,488540.62499999994,Condo,60201,1761,6,3,1,No,3.0,0,2.0,19A
1/15/2019,478034.37499999994,SFH,60076,2124,8,2,1,Yes,4.0,0,1.0,19A
11/2/2020,189624.99999999997,SFH,60002,2802,7,2,0,Yes,2.0,1,2.0,19A
9/29/2020,114902.49999999999,SFH,60002,540,3,1,0,No,1.0,0,1.5,19B
11/18/2019,262656.25,SFH,60077,1000,10,2,0,Yes,3.0,2,0.0,19A
5/5/2017,513272.99414062477,SFH,60062,2789,11,2,1,No,5.0,1,2.0,19A
6/18/2019,283668.75,SFH,60053,1029,7,2,0,Yes,3.0,0,2.0,19A
4/23/2019,179656.875,Condo,60025,1050,5,2,0,No,2.0,0,0.0,19A
11/2/2020,188599.99999999997,Condo,60201,1200,5,1,0,No,2.0,0,0.0,19B
10/18/2019,177555.625,Condo,60025,1150,5,2,0,No,2.0,0,0.0,19A
11/3/2020,422812.49999999994,SFH,60025,2500,11,2,0,No,4.0,0,1.5,19A
8/8/2017,424967.9628906248,SFH,60062,1472,7,2,0,Yes,3.0,0,2.0,19A
4/18/2020,1086500.0,SFH,60025,3318,9,2,1,No,5.0,0,3.0,19A
11/13/2020,1024999.9999999999,SFH,60062,4633,13,4,1,Yes,4.0,1,3.0,20A
8/1/2017,562944.5742187498,SFH,60062,2029,8,2,1,No,4.0,0,2.0,19A
5/15/2020,230624.99999999997,SFH,60203,1200,7,2,0,Yes,3.0,0,2.0,19A
8/28/2020,1204375.0,SFH,60026,4424,17,5,0,Yes,5.0,1,3.0,20A
11/19/2020,401799.99999999994,SFH,60077,2020,8,2,0,No,3.0,0,1.0,19B
6/22/2020,271625.0,SFH,60025,1888,10,1,1,No,3.0,0,2.0,19A
9/4/2020,379249.99999999994,SFH,60076,2150,8,2,0,No,3.0,0,2.0,19A
7/27/2020,819999.9999999999,SFH,60062,3068,8,3,1,No,3.0,0,2.0,20A
11/1/2019,461224.37499999994,SFH,60025,2343,9,2,1,No,3.0,0,2.0,19A
6/16/2020,164000.0,SFH,60201,2430,8,2,0,No,3.0,0,0.0,19B
5/21/2018,457678.5156249998,SFH,60062,1600,8,1,1,Yes,3.0,0,1.5,19A
11/24/2020,594397.5,SFH,60053,3748,13,4,1,Yes,4.0,2,2.0,19A
3/16/2017,1026545.9882812495,SFH,60062,3410,11,3,1,Yes,4.0,0,2.0,19A
12/9/2019,257403.12499999997,SFH,60077,2234,8,1,1,Yes,4.0,0,1.5,19B
8/27/2020,460224.99999999994,Townhouse,60202,2200,6,2,1,No,2.0,0,2.0,20A
2/15/2019,182808.75,Condo,60025,1030,5,2,0,No,2.0,0,0.0,19A
6/7/2019,339239.45812499995,SFH,60053,1369,7,2,0,Yes,3.0,0,2.5,19A
2/19/2020,247024.99999999997,Condo,60202,1400,5,1,0,No,2.0,0,0.0,19B
10/22/2020,253687.49999999997,SFH,60062,1221,7,2,0,No,3.0,0,0.0,19A
