state,model,subscription,price
Pennsylvania,HP LaserJet M610,9 months of Instant Ink,127.50835
New Jersey,HP Color LaserJet M555dn,3 months of Instant Ink,72.299164
Michigan,HP Color Laserjet Pro MFP m479fdn,6 months of Instant Ink,66.42325
Maine,HP Laserjet M551,no free month,118.09967
Washington,HP LaserJet P3010 Series,6 months of Instant Ink,152.02368
Virginia,HP LaserJet M806,6 months of Instant Ink,145.58842
North Carolina,HP ColorLaserjet Pro MFP 4301FDW,9 months of Instant Ink,98.26775
Maryland,HP LaserJet M609,6 months of Instant Ink,89.75672
Alabama,HP LaserJet 600 M601,3 months of Instant Ink,42.1135
Florida,HP LaserJet 5200,6 months of Instant Ink,56.369534
Florida,HP LaserJet 500 color M551,3 months of Instant Ink,52.45683
Rhode Island,HP Laserjet M425dn,9 months of Instant Ink,147.30466
Alaska,HP LaserJet M806,6 months of Instant Ink,61.052864
Maine,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,60.498096
Tennessee,HP Color Laserjet Pro MFP 4301,9 months of Instant Ink,109.99464
Montana,HP Laserjet M611dn,6 months of Instant Ink,130.74619
Washington,HP LaserJet P4015,6 months of Instant Ink,154.19576
Illinois,HP LaserJet P4015,3 months of Instant Ink,88.81296
Illinois,HP Designjet Z6 (Large Format),6 months of Instant Ink,58.090706
South Carolina,HP Laserjet M551,9 months of Instant Ink,154.437
Texas,HP LaserJet P3010 Series,9 months of Instant Ink,144.72261
North Dakota,HP Color LaserJet CP4520 Series,9 months of Instant Ink,79.05485
Montana,HP Color LaserJet CP5225n,3 months of Instant Ink,59.79771
New Hampshire,hp LaserJet 4350,no free month,141.20845
Wisconsin,HP Color LaserJet CP5225n,6 months of Instant Ink,112.43133
Virginia,HP Laserjet M501dn,3 months of Instant Ink,160.95435
Minnesota,HP Color Laserjet Pro MFP m479fdn,3 months of Instant Ink,67.01459
Hawaii,HP LaserJet Pro 4001dn,no free month,91.45408
Wyoming,HP LaserJet P3010 Series,no free month,161.28404
Delaware,HP ColorLaserjet Pro MFP 4301FDW,6 months of Instant Ink,46.549873
Wisconsin,HP LaserJet P4015,3 months of Instant Ink,157.2207
Oklahoma,HP Color LaserJet M611X,6 months of Instant Ink,91.14267
Arkansas,HP LaserJet 700 M712,9 months of Instant Ink,55.556698
Oregon,HP Color Laserjet M751,9 months of Instant Ink,97.01747
South Dakota,HP LaserJet M609,6 months of Instant Ink,130.54251
Nebraska,HP Color LaserJet M555dn,3 months of Instant Ink,65.70197
Kentucky,HP Color Laserjet Pro MFP 4301,6 months of Instant Ink,53.437935
Louisiana,HP LaserJet P3010 Series,9 months of Instant Ink,98.540886
Massachusetts,HP LaserJet M607,9 months of Instant Ink,89.991
Maryland,HP LaserJet M609,9 months of Instant Ink,90.97172
Tennessee,HP LaserJet M609,9 months of Instant Ink,134.1148
Nebraska,HP LaserJet M806,9 months of Instant Ink,109.028076
Idaho,HP ColorLaserJet 255dw,3 months of Instant Ink,49.633186
Iowa,HP Color LaserJet CP4520 Series,9 months of Instant Ink,36.885017
Alabama,HP ColorLaserjet Pro MFP 4301FDW,3 months of Instant Ink,31.46347
Rhode Island,HP Color LaserJet M611X,9 months of Instant Ink,99.400604
Massachusetts,HP LaserJet M607,6 months of Instant Ink,88.79858
Georgia,HP Color Laserjet Pro MFP 4301,no free month,42.324863
Alabama,HP Color LaserJet M611X,6 months of Instant Ink,17.061829
Nevada,HP Laserjet M551,6 months of Instant Ink,131.4853
Kansas,HP LaserJet M806,no free month,90.70844
Arkansas,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,31.737276
Utah,HP Laserjet Enterprise M554,9 months of Instant Ink,154.10596
